student_id,unmastered_count,baseline_attempts,pso_attempts,efficiency_percent,is_penalized,recommended_path
11.0,18,245,233,4.9,0,aljabar_dasar -> persamaan_linear_satu_variabel -> perbandingan -> aritmatika_sosial -> himpunan -> teorema_pythagoras -> trigonometri -> peluang_dasar -> statistika_dasar -> eksponen_logaritma -> bangun_ruang -> sistem_persamaan_linear -> matriks -> barisan_deret -> fungsi_kuadrat -> limit -> turunan -> integral
12.0,18,244,232,4.92,0,bilangan_bulat -> persamaan_linear_satu_variabel -> perbandingan -> aritmatika_sosial -> himpunan -> statistika_dasar -> peluang_dasar -> bangun_ruang -> teorema_pythagoras -> trigonometri -> eksponen_logaritma -> sistem_persamaan_linear -> matriks -> barisan_deret -> fungsi_kuadrat -> limit -> turunan -> integral
13.0,16,213,206,3.29,0,aritmatika_sosial -> perbandingan -> himpunan -> teorema_pythagoras -> statistika_dasar -> peluang_dasar -> eksponen_logaritma -> bangun_ruang -> barisan_deret -> sistem_persamaan_linear -> matriks -> trigonometri -> fungsi_kuadrat -> limit -> turunan -> integral
14.0,19,247,241,2.43,0,bilangan_bulat -> aljabar_dasar -> persamaan_linear_satu_variabel -> perbandingan -> aritmatika_sosial -> himpunan -> peluang_dasar -> statistika_dasar -> teorema_pythagoras -> bangun_ruang -> sistem_persamaan_linear -> matriks -> eksponen_logaritma -> fungsi_kuadrat -> limit -> turunan -> integral -> barisan_deret -> trigonometri
15.0,19,254,242,4.72,0,bilangan_bulat -> aljabar_dasar -> persamaan_linear_satu_variabel -> perbandingan -> aritmatika_sosial -> himpunan -> teorema_pythagoras -> trigonometri -> statistika_dasar -> peluang_dasar -> bangun_ruang -> eksponen_logaritma -> sistem_persamaan_linear -> matriks -> barisan_deret -> fungsi_kuadrat -> limit -> turunan -> integral
16.0,18,240,226,5.83,0,aljabar_dasar -> aritmatika_sosial -> persamaan_linear_satu_variabel -> perbandingan -> himpunan -> teorema_pythagoras -> trigonometri -> peluang_dasar -> statistika_dasar -> bangun_ruang -> eksponen_logaritma -> sistem_persamaan_linear -> matriks -> barisan_deret -> fungsi_kuadrat -> limit -> turunan -> integral
17.0,17,228,216,5.26,0,aljabar_dasar -> persamaan_linear_satu_variabel -> aritmatika_sosial -> himpunan -> teorema_pythagoras -> trigonometri -> statistika_dasar -> peluang_dasar -> eksponen_logaritma -> bangun_ruang -> barisan_deret -> sistem_persamaan_linear -> matriks -> fungsi_kuadrat -> limit -> turunan -> integral
18.0,17,228,216,5.26,0,persamaan_linear_satu_variabel -> fungsi_kuadrat -> perbandingan -> eksponen_logaritma -> aritmatika_sosial -> himpunan -> teorema_pythagoras -> trigonometri -> statistika_dasar -> peluang_dasar -> bangun_ruang -> sistem_persamaan_linear -> matriks -> barisan_deret -> limit -> turunan -> integral
19.0,19,248,236,4.84,0,bilangan_bulat -> aljabar_dasar -> persamaan_linear_satu_variabel -> perbandingan -> aritmatika_sosial -> himpunan -> teorema_pythagoras -> trigonometri -> statistika_dasar -> eksponen_logaritma -> bangun_ruang -> peluang_dasar -> sistem_persamaan_linear -> matriks -> barisan_deret -> fungsi_kuadrat -> limit -> turunan -> integral
20.0,18,244,231,5.33,0,peluang_dasar -> aljabar_dasar -> persamaan_linear_satu_variabel -> perbandingan -> aritmatika_sosial -> himpunan -> bangun_ruang -> teorema_pythagoras -> trigonometri -> statistika_dasar -> eksponen_logaritma -> barisan_deret -> sistem_persamaan_linear -> matriks -> fungsi_kuadrat -> limit -> turunan -> integral
21.0,16,214,202,5.61,0,bilangan_bulat -> aljabar_dasar -> teorema_pythagoras -> peluang_dasar -> perbandingan -> barisan_deret -> bangun_ruang -> statistika_dasar -> eksponen_logaritma -> fungsi_kuadrat -> limit -> turunan -> integral -> sistem_persamaan_linear -> matriks -> trigonometri
22.0,17,229,217,5.24,0,persamaan_linear_satu_variabel -> fungsi_kuadrat -> perbandingan -> aritmatika_sosial -> himpunan -> teorema_pythagoras -> trigonometri -> statistika_dasar -> peluang_dasar -> eksponen_logaritma -> bangun_ruang -> sistem_persamaan_linear -> matriks -> barisan_deret -> limit -> turunan -> integral
23.0,17,229,216,5.68,0,eksponen_logaritma -> persamaan_linear_satu_variabel -> perbandingan -> aritmatika_sosial -> himpunan -> statistika_dasar -> teorema_pythagoras -> trigonometri -> peluang_dasar -> bangun_ruang -> sistem_persamaan_linear -> matriks -> barisan_deret -> fungsi_kuadrat -> limit -> turunan -> integral
24.0,19,253,241,4.74,0,bilangan_bulat -> aljabar_dasar -> persamaan_linear_satu_variabel -> perbandingan -> aritmatika_sosial -> himpunan -> teorema_pythagoras -> trigonometri -> peluang_dasar -> statistika_dasar -> bangun_ruang -> eksponen_logaritma -> sistem_persamaan_linear -> matriks -> barisan_deret -> fungsi_kuadrat -> limit -> turunan -> integral
25.0,18,250,238,4.8,0,bilangan_bulat -> persamaan_linear_satu_variabel -> perbandingan -> himpunan -> aritmatika_sosial -> peluang_dasar -> bangun_ruang -> statistika_dasar -> teorema_pythagoras -> trigonometri -> eksponen_logaritma -> sistem_persamaan_linear -> matriks -> barisan_deret -> fungsi_kuadrat -> limit -> turunan -> integral
26.0,17,228,215,5.7,0,barisan_deret -> persamaan_linear_satu_variabel -> statistika_dasar -> perbandingan -> aritmatika_sosial -> himpunan -> teorema_pythagoras -> trigonometri -> bangun_ruang -> peluang_dasar -> sistem_persamaan_linear -> matriks -> eksponen_logaritma -> fungsi_kuadrat -> limit -> turunan -> integral
27.0,18,245,232,5.31,0,bangun_ruang -> aljabar_dasar -> persamaan_linear_satu_variabel -> aritmatika_sosial -> perbandingan -> himpunan -> statistika_dasar -> teorema_pythagoras -> trigonometri -> peluang_dasar -> eksponen_logaritma -> sistem_persamaan_linear -> matriks -> barisan_deret -> fungsi_kuadrat -> limit -> turunan -> integral
28.0,18,244,232,4.92,0,aljabar_dasar -> persamaan_linear_satu_variabel -> perbandingan -> aritmatika_sosial -> himpunan -> teorema_pythagoras -> trigonometri -> statistika_dasar -> peluang_dasar -> eksponen_logaritma -> bangun_ruang -> barisan_deret -> sistem_persamaan_linear -> matriks -> fungsi_kuadrat -> limit -> turunan -> integral
29.0,18,244,232,4.92,0,aljabar_dasar -> persamaan_linear_satu_variabel -> perbandingan -> aritmatika_sosial -> himpunan -> teorema_pythagoras -> trigonometri -> peluang_dasar -> statistika_dasar -> bangun_ruang -> sistem_persamaan_linear -> matriks -> eksponen_logaritma -> barisan_deret -> fungsi_kuadrat -> limit -> turunan -> integral
30.0,17,223,210,5.83,0,peluang_dasar -> aljabar_dasar -> persamaan_linear_satu_variabel -> perbandingan -> himpunan -> statistika_dasar -> teorema_pythagoras -> trigonometri -> bangun_ruang -> eksponen_logaritma -> sistem_persamaan_linear -> matriks -> barisan_deret -> fungsi_kuadrat -> limit -> turunan -> integral
31.0,17,227,209,7.93,0,aljabar_dasar -> eksponen_logaritma -> statistika_dasar -> perbandingan -> peluang_dasar -> aritmatika_sosial -> himpunan -> barisan_deret -> teorema_pythagoras -> trigonometri -> bangun_ruang -> sistem_persamaan_linear -> matriks -> fungsi_kuadrat -> limit -> turunan -> integral
32.0,16,206,200,2.91,0,persamaan_linear_satu_variabel -> aritmatika_sosial -> himpunan -> eksponen_logaritma -> statistika_dasar -> teorema_pythagoras -> peluang_dasar -> bangun_ruang -> sistem_persamaan_linear -> matriks -> trigonometri -> barisan_deret -> fungsi_kuadrat -> limit -> turunan -> integral
33.0,18,238,226,5.04,0,bilangan_bulat -> aljabar_dasar -> persamaan_linear_satu_variabel -> aritmatika_sosial -> teorema_pythagoras -> trigonometri -> himpunan -> peluang_dasar -> statistika_dasar -> bangun_ruang -> eksponen_logaritma -> sistem_persamaan_linear -> matriks -> barisan_deret -> fungsi_kuadrat -> limit -> turunan -> integral
34.0,18,243,231,4.94,0,bilangan_bulat -> persamaan_linear_satu_variabel -> fungsi_kuadrat -> perbandingan -> aritmatika_sosial -> himpunan -> statistika_dasar -> peluang_dasar -> bangun_ruang -> eksponen_logaritma -> barisan_deret -> teorema_pythagoras -> trigonometri -> sistem_persamaan_linear -> matriks -> limit -> turunan -> integral
35.0,17,227,215,5.29,0,bilangan_bulat -> perbandingan -> aritmatika_sosial -> teorema_pythagoras -> trigonometri -> himpunan -> statistika_dasar -> peluang_dasar -> bangun_ruang -> barisan_deret -> eksponen_logaritma -> sistem_persamaan_linear -> matriks -> fungsi_kuadrat -> limit -> turunan -> integral
36.0,18,230,224,2.61,0,aljabar_dasar -> persamaan_linear_satu_variabel -> perbandingan -> aritmatika_sosial -> teorema_pythagoras -> peluang_dasar -> himpunan -> eksponen_logaritma -> bangun_ruang -> statistika_dasar -> sistem_persamaan_linear -> matriks -> barisan_deret -> trigonometri -> fungsi_kuadrat -> limit -> turunan -> integral
37.0,16,210,192,8.57,0,aljabar_dasar -> eksponen_logaritma -> himpunan -> perbandingan -> teorema_pythagoras -> trigonometri -> statistika_dasar -> bangun_ruang -> peluang_dasar -> barisan_deret -> sistem_persamaan_linear -> matriks -> fungsi_kuadrat -> limit -> turunan -> integral
38.0,18,245,233,4.9,0,aljabar_dasar -> persamaan_linear_satu_variabel -> sistem_persamaan_linear -> perbandingan -> aritmatika_sosial -> himpunan -> teorema_pythagoras -> trigonometri -> statistika_dasar -> bangun_ruang -> peluang_dasar -> eksponen_logaritma -> matriks -> fungsi_kuadrat -> limit -> turunan -> integral -> barisan_deret
39.0,18,232,223,3.88,0,bilangan_bulat -> aljabar_dasar -> aritmatika_sosial -> persamaan_linear_satu_variabel -> himpunan -> statistika_dasar -> bangun_ruang -> peluang_dasar -> eksponen_logaritma -> teorema_pythagoras -> trigonometri -> fungsi_kuadrat -> limit -> sistem_persamaan_linear -> matriks -> barisan_deret -> turunan -> integral
40.0,17,235,223,5.11,0,persamaan_linear_satu_variabel -> aritmatika_sosial -> perbandingan -> himpunan -> teorema_pythagoras -> trigonometri -> statistika_dasar -> peluang_dasar -> bangun_ruang -> sistem_persamaan_linear -> matriks -> eksponen_logaritma -> barisan_deret -> fungsi_kuadrat -> limit -> turunan -> integral
41.0,15,186,179,3.76,0,eksponen_logaritma -> aritmatika_sosial -> teorema_pythagoras -> himpunan -> statistika_dasar -> peluang_dasar -> bangun_ruang -> sistem_persamaan_linear -> matriks -> trigonometri -> barisan_deret -> fungsi_kuadrat -> limit -> turunan -> integral
42.0,17,229,217,5.24,0,persamaan_linear_satu_variabel -> perbandingan -> aritmatika_sosial -> himpunan -> teorema_pythagoras -> trigonometri -> statistika_dasar -> peluang_dasar -> bangun_ruang -> eksponen_logaritma -> sistem_persamaan_linear -> matriks -> barisan_deret -> fungsi_kuadrat -> limit -> turunan -> integral
43.0,17,234,222,5.13,0,aljabar_dasar -> perbandingan -> aritmatika_sosial -> himpunan -> teorema_pythagoras -> trigonometri -> statistika_dasar -> peluang_dasar -> eksponen_logaritma -> bangun_ruang -> sistem_persamaan_linear -> matriks -> barisan_deret -> fungsi_kuadrat -> limit -> turunan -> integral
44.0,17,228,216,5.26,0,bilangan_bulat -> perbandingan -> statistika_dasar -> himpunan -> aritmatika_sosial -> teorema_pythagoras -> trigonometri -> bangun_ruang -> eksponen_logaritma -> peluang_dasar -> sistem_persamaan_linear -> matriks -> barisan_deret -> fungsi_kuadrat -> limit -> turunan -> integral
45.0,19,254,248,2.36,0,bilangan_bulat -> aljabar_dasar -> persamaan_linear_satu_variabel -> perbandingan -> aritmatika_sosial -> himpunan -> statistika_dasar -> teorema_pythagoras -> peluang_dasar -> bangun_ruang -> barisan_deret -> eksponen_logaritma -> sistem_persamaan_linear -> matriks -> trigonometri -> fungsi_kuadrat -> limit -> turunan -> integral
46.0,18,244,232,4.92,0,aljabar_dasar -> persamaan_linear_satu_variabel -> perbandingan -> aritmatika_sosial -> himpunan -> teorema_pythagoras -> trigonometri -> peluang_dasar -> statistika_dasar -> bangun_ruang -> eksponen_logaritma -> barisan_deret -> sistem_persamaan_linear -> matriks -> fungsi_kuadrat -> limit -> turunan -> integral
47.0,17,229,223,2.62,0,aljabar_dasar -> persamaan_linear_satu_variabel -> fungsi_kuadrat -> aritmatika_sosial -> himpunan -> teorema_pythagoras -> statistika_dasar -> peluang_dasar -> bangun_ruang -> eksponen_logaritma -> sistem_persamaan_linear -> matriks -> trigonometri -> barisan_deret -> limit -> turunan -> integral
48.0,17,224,218,2.68,0,bilangan_bulat -> perbandingan -> aritmatika_sosial -> himpunan -> teorema_pythagoras -> statistika_dasar -> peluang_dasar -> eksponen_logaritma -> bangun_ruang -> sistem_persamaan_linear -> matriks -> barisan_deret -> trigonometri -> fungsi_kuadrat -> limit -> turunan -> integral
49.0,18,239,229,4.18,0,aljabar_dasar -> aritmatika_sosial -> persamaan_linear_satu_variabel -> perbandingan -> himpunan -> teorema_pythagoras -> statistika_dasar -> bangun_ruang -> peluang_dasar -> sistem_persamaan_linear -> matriks -> eksponen_logaritma -> trigonometri -> barisan_deret -> fungsi_kuadrat -> limit -> turunan -> integral
50.0,19,253,241,4.74,0,bilangan_bulat -> aljabar_dasar -> persamaan_linear_satu_variabel -> peluang_dasar -> perbandingan -> aritmatika_sosial -> himpunan -> statistika_dasar -> teorema_pythagoras -> trigonometri -> bangun_ruang -> eksponen_logaritma -> sistem_persamaan_linear -> matriks -> barisan_deret -> fungsi_kuadrat -> limit -> turunan -> integral
51.0,18,245,239,2.45,0,aljabar_dasar -> persamaan_linear_satu_variabel -> perbandingan -> aritmatika_sosial -> himpunan -> teorema_pythagoras -> statistika_dasar -> peluang_dasar -> bangun_ruang -> eksponen_logaritma -> sistem_persamaan_linear -> matriks -> barisan_deret -> trigonometri -> fungsi_kuadrat -> limit -> turunan -> integral
52.0,19,253,241,4.74,0,bilangan_bulat -> aljabar_dasar -> persamaan_linear_satu_variabel -> sistem_persamaan_linear -> perbandingan -> himpunan -> aritmatika_sosial -> barisan_deret -> teorema_pythagoras -> trigonometri -> matriks -> peluang_dasar -> statistika_dasar -> bangun_ruang -> eksponen_logaritma -> fungsi_kuadrat -> limit -> turunan -> integral
53.0,18,245,233,4.9,0,aljabar_dasar -> persamaan_linear_satu_variabel -> perbandingan -> aritmatika_sosial -> himpunan -> teorema_pythagoras -> trigonometri -> peluang_dasar -> statistika_dasar -> eksponen_logaritma -> bangun_ruang -> sistem_persamaan_linear -> matriks -> barisan_deret -> fungsi_kuadrat -> limit -> turunan -> integral
54.0,18,236,224,5.08,0,bilangan_bulat -> aljabar_dasar -> eksponen_logaritma -> perbandingan -> aritmatika_sosial -> himpunan -> teorema_pythagoras -> statistika_dasar -> bangun_ruang -> barisan_deret -> peluang_dasar -> sistem_persamaan_linear -> matriks -> trigonometri -> fungsi_kuadrat -> limit -> turunan -> integral
55.0,16,212,199,6.13,0,peluang_dasar -> perbandingan -> aritmatika_sosial -> bangun_ruang -> himpunan -> teorema_pythagoras -> trigonometri -> statistika_dasar -> eksponen_logaritma -> barisan_deret -> sistem_persamaan_linear -> matriks -> fungsi_kuadrat -> limit -> turunan -> integral
56.0,17,227,215,5.29,0,persamaan_linear_satu_variabel -> perbandingan -> aritmatika_sosial -> himpunan -> statistika_dasar -> teorema_pythagoras -> trigonometri -> peluang_dasar -> bangun_ruang -> eksponen_logaritma -> sistem_persamaan_linear -> matriks -> barisan_deret -> fungsi_kuadrat -> limit -> turunan -> integral
57.0,19,253,241,4.74,0,bilangan_bulat -> aljabar_dasar -> persamaan_linear_satu_variabel -> aritmatika_sosial -> perbandingan -> himpunan -> peluang_dasar -> bangun_ruang -> teorema_pythagoras -> trigonometri -> sistem_persamaan_linear -> matriks -> eksponen_logaritma -> barisan_deret -> statistika_dasar -> fungsi_kuadrat -> limit -> turunan -> integral
58.0,18,245,233,4.9,0,aljabar_dasar -> persamaan_linear_satu_variabel -> perbandingan -> himpunan -> aritmatika_sosial -> teorema_pythagoras -> trigonometri -> bangun_ruang -> peluang_dasar -> statistika_dasar -> barisan_deret -> eksponen_logaritma -> sistem_persamaan_linear -> matriks -> fungsi_kuadrat -> limit -> turunan -> integral
59.0,18,235,223,5.11,0,bilangan_bulat -> persamaan_linear_satu_variabel -> perbandingan -> aritmatika_sosial -> himpunan -> teorema_pythagoras -> trigonometri -> statistika_dasar -> peluang_dasar -> bangun_ruang -> eksponen_logaritma -> sistem_persamaan_linear -> matriks -> barisan_deret -> fungsi_kuadrat -> limit -> turunan -> integral
60.0,16,220,208,5.45,0,persamaan_linear_satu_variabel -> aritmatika_sosial -> himpunan -> teorema_pythagoras -> trigonometri -> statistika_dasar -> peluang_dasar -> bangun_ruang -> eksponen_logaritma -> sistem_persamaan_linear -> matriks -> barisan_deret -> fungsi_kuadrat -> limit -> turunan -> integral
61.0,17,228,216,5.26,0,persamaan_linear_satu_variabel -> perbandingan -> aritmatika_sosial -> himpunan -> teorema_pythagoras -> trigonometri -> statistika_dasar -> bangun_ruang -> peluang_dasar -> eksponen_logaritma -> sistem_persamaan_linear -> matriks -> barisan_deret -> fungsi_kuadrat -> limit -> turunan -> integral
62.0,16,214,202,5.61,0,perbandingan -> aritmatika_sosial -> himpunan -> teorema_pythagoras -> trigonometri -> statistika_dasar -> peluang_dasar -> bangun_ruang -> eksponen_logaritma -> sistem_persamaan_linear -> matriks -> barisan_deret -> fungsi_kuadrat -> limit -> turunan -> integral
63.0,17,233,221,5.15,0,persamaan_linear_satu_variabel -> perbandingan -> aritmatika_sosial -> himpunan -> teorema_pythagoras -> trigonometri -> statistika_dasar -> peluang_dasar -> bangun_ruang -> barisan_deret -> eksponen_logaritma -> sistem_persamaan_linear -> matriks -> fungsi_kuadrat -> limit -> turunan -> integral
64.0,18,250,244,2.4,0,bilangan_bulat -> persamaan_linear_satu_variabel -> fungsi_kuadrat -> perbandingan -> aritmatika_sosial -> himpunan -> teorema_pythagoras -> statistika_dasar -> peluang_dasar -> bangun_ruang -> eksponen_logaritma -> sistem_persamaan_linear -> matriks -> trigonometri -> barisan_deret -> limit -> turunan -> integral
65.0,16,220,213,3.18,0,teorema_pythagoras -> perbandingan -> himpunan -> bangun_ruang -> aritmatika_sosial -> statistika_dasar -> eksponen_logaritma -> peluang_dasar -> barisan_deret -> trigonometri -> sistem_persamaan_linear -> matriks -> fungsi_kuadrat -> limit -> turunan -> integral
66.0,17,219,207,5.48,0,bilangan_bulat -> aljabar_dasar -> aritmatika_sosial -> himpunan -> peluang_dasar -> teorema_pythagoras -> trigonometri -> bangun_ruang -> statistika_dasar -> eksponen_logaritma -> barisan_deret -> sistem_persamaan_linear -> matriks -> fungsi_kuadrat -> limit -> turunan -> integral
67.0,19,245,233,4.9,0,bilangan_bulat -> aljabar_dasar -> persamaan_linear_satu_variabel -> perbandingan -> aritmatika_sosial -> himpunan -> statistika_dasar -> teorema_pythagoras -> trigonometri -> peluang_dasar -> bangun_ruang -> eksponen_logaritma -> sistem_persamaan_linear -> matriks -> barisan_deret -> fungsi_kuadrat -> limit -> turunan -> integral
68.0,16,220,208,5.45,0,persamaan_linear_satu_variabel -> fungsi_kuadrat -> aritmatika_sosial -> himpunan -> bangun_ruang -> teorema_pythagoras -> trigonometri -> statistika_dasar -> peluang_dasar -> eksponen_logaritma -> sistem_persamaan_linear -> matriks -> barisan_deret -> limit -> turunan -> integral
69.0,18,243,231,4.94,0,bilangan_bulat -> persamaan_linear_satu_variabel -> fungsi_kuadrat -> aritmatika_sosial -> perbandingan -> himpunan -> teorema_pythagoras -> trigonometri -> peluang_dasar -> statistika_dasar -> barisan_deret -> bangun_ruang -> eksponen_logaritma -> sistem_persamaan_linear -> matriks -> limit -> turunan -> integral
70.0,18,242,229,5.37,0,peluang_dasar -> bilangan_bulat -> persamaan_linear_satu_variabel -> perbandingan -> bangun_ruang -> aritmatika_sosial -> himpunan -> eksponen_logaritma -> statistika_dasar -> teorema_pythagoras -> trigonometri -> sistem_persamaan_linear -> matriks -> barisan_deret -> fungsi_kuadrat -> limit -> turunan -> integral
71.0,18,244,232,4.92,0,aljabar_dasar -> persamaan_linear_satu_variabel -> perbandingan -> aritmatika_sosial -> himpunan -> peluang_dasar -> statistika_dasar -> eksponen_logaritma -> bangun_ruang -> teorema_pythagoras -> trigonometri -> sistem_persamaan_linear -> matriks -> barisan_deret -> fungsi_kuadrat -> limit -> turunan -> integral
72.0,17,229,223,2.62,0,aljabar_dasar -> persamaan_linear_satu_variabel -> aritmatika_sosial -> statistika_dasar -> himpunan -> teorema_pythagoras -> eksponen_logaritma -> peluang_dasar -> bangun_ruang -> barisan_deret -> fungsi_kuadrat -> limit -> turunan -> integral -> sistem_persamaan_linear -> matriks -> trigonometri
73.0,18,240,231,3.75,0,aljabar_dasar -> aritmatika_sosial -> persamaan_linear_satu_variabel -> perbandingan -> teorema_pythagoras -> himpunan -> eksponen_logaritma -> peluang_dasar -> statistika_dasar -> bangun_ruang -> barisan_deret -> trigonometri -> sistem_persamaan_linear -> matriks -> fungsi_kuadrat -> limit -> turunan -> integral
74.0,17,235,223,5.11,0,persamaan_linear_satu_variabel -> perbandingan -> aritmatika_sosial -> himpunan -> teorema_pythagoras -> trigonometri -> peluang_dasar -> statistika_dasar -> bangun_ruang -> eksponen_logaritma -> sistem_persamaan_linear -> matriks -> barisan_deret -> fungsi_kuadrat -> limit -> turunan -> integral
75.0,18,244,226,7.38,0,bilangan_bulat -> aljabar_dasar -> aritmatika_sosial -> perbandingan -> himpunan -> teorema_pythagoras -> trigonometri -> statistika_dasar -> eksponen_logaritma -> bangun_ruang -> peluang_dasar -> sistem_persamaan_linear -> matriks -> barisan_deret -> fungsi_kuadrat -> limit -> turunan -> integral
76.0,17,234,222,5.13,0,persamaan_linear_satu_variabel -> perbandingan -> aritmatika_sosial -> himpunan -> teorema_pythagoras -> trigonometri -> peluang_dasar -> statistika_dasar -> bangun_ruang -> eksponen_logaritma -> sistem_persamaan_linear -> matriks -> barisan_deret -> fungsi_kuadrat -> limit -> turunan -> integral
77.0,17,228,216,5.26,0,aritmatika_sosial -> perbandingan -> bilangan_bulat -> himpunan -> statistika_dasar -> eksponen_logaritma -> teorema_pythagoras -> trigonometri -> peluang_dasar -> bangun_ruang -> sistem_persamaan_linear -> matriks -> fungsi_kuadrat -> limit -> turunan -> integral -> barisan_deret
78.0,17,236,230,2.54,0,persamaan_linear_satu_variabel -> fungsi_kuadrat -> perbandingan -> aritmatika_sosial -> himpunan -> teorema_pythagoras -> statistika_dasar -> peluang_dasar -> bangun_ruang -> eksponen_logaritma -> sistem_persamaan_linear -> matriks -> barisan_deret -> trigonometri -> limit -> turunan -> integral
79.0,17,219,213,2.74,0,persamaan_linear_satu_variabel -> perbandingan -> aritmatika_sosial -> statistika_dasar -> himpunan -> teorema_pythagoras -> bangun_ruang -> peluang_dasar -> barisan_deret -> eksponen_logaritma -> sistem_persamaan_linear -> matriks -> trigonometri -> fungsi_kuadrat -> limit -> turunan -> integral
80.0,19,254,248,2.36,0,bilangan_bulat -> aljabar_dasar -> persamaan_linear_satu_variabel -> perbandingan -> aritmatika_sosial -> teorema_pythagoras -> statistika_dasar -> himpunan -> peluang_dasar -> bangun_ruang -> eksponen_logaritma -> sistem_persamaan_linear -> matriks -> barisan_deret -> trigonometri -> fungsi_kuadrat -> limit -> turunan -> integral
81.0,18,250,238,4.8,0,bilangan_bulat -> persamaan_linear_satu_variabel -> perbandingan -> aritmatika_sosial -> teorema_pythagoras -> trigonometri -> himpunan -> bangun_ruang -> peluang_dasar -> eksponen_logaritma -> statistika_dasar -> sistem_persamaan_linear -> matriks -> barisan_deret -> fungsi_kuadrat -> limit -> turunan -> integral
82.0,16,221,214,3.17,0,statistika_dasar -> perbandingan -> aritmatika_sosial -> himpunan -> teorema_pythagoras -> peluang_dasar -> eksponen_logaritma -> bangun_ruang -> sistem_persamaan_linear -> matriks -> trigonometri -> barisan_deret -> fungsi_kuadrat -> limit -> turunan -> integral
83.0,13,175,175,0.0,0,aritmatika_sosial -> teorema_pythagoras -> peluang_dasar -> bangun_ruang -> eksponen_logaritma -> fungsi_kuadrat -> sistem_persamaan_linear -> matriks -> barisan_deret -> trigonometri -> limit -> turunan -> integral
84.0,18,245,233,4.9,0,aljabar_dasar -> persamaan_linear_satu_variabel -> perbandingan -> aritmatika_sosial -> himpunan -> statistika_dasar -> teorema_pythagoras -> trigonometri -> bangun_ruang -> peluang_dasar -> eksponen_logaritma -> sistem_persamaan_linear -> matriks -> barisan_deret -> fungsi_kuadrat -> limit -> turunan -> integral
