id,teacher_id,baseline,learn_rate,slip,guess,fatigue
45,15,0.3042956019265145,0.05,0.1,0.2,0.0
46,5,0.4560311583210582,0.15,0.05,0.1,0.0
47,18,0.5078722458080425,0.15,0.05,0.1,0.0
48,19,0.8114244452437831,0.05,0.1,0.2,0.0
49,19,0.6687236579136923,0.05,0.1,0.2,0.0
50,8,0.2473919689274532,0.05,0.1,0.2,0.0
51,5,0.664816793878959,0.08,0.1,0.35,0.0
52,3,0.5229835439167366,0.05,0.1,0.2,0.0
53,4,0.4646155999388082,0.1,0.15,0.25,0.0
54,6,0.7223352577681735,0.15,0.05,0.1,0.0
55,14,0.8061999044991902,0.1,0.15,0.25,0.0
56,13,0.7862560238232397,0.05,0.1,0.2,0.0
57,15,0.4321564953554723,0.05,0.1,0.2,0.0
58,18,0.5381575248297571,0.05,0.1,0.2,0.0
59,1,0.6662526862807128,0.08,0.1,0.35,0.0
60,4,0.7951090254244718,0.1,0.15,0.25,0.0
61,18,0.504165152430942,0.1,0.15,0.25,0.0
62,11,0.5628682046672365,0.1,0.15,0.25,0.0
63,14,0.3787330051987943,0.15,0.05,0.1,0.0
64,1,0.36075867518386584,0.15,0.05,0.1,0.0
65,9,0.7625051644788396,0.08,0.1,0.35,0.0
66,6,0.8712480057141645,0.08,0.1,0.35,0.0
67,4,0.5855979756839332,0.05,0.1,0.2,0.0
68,10,0.8007065795784049,0.08,0.1,0.35,0.0
69,17,0.6723272050095268,0.08,0.1,0.35,0.0
70,5,0.4709760490789751,0.1,0.15,0.25,0.0
71,6,0.6722791211016828,0.05,0.1,0.2,0.0
72,17,0.9076073132931939,0.05,0.1,0.2,0.0
73,20,0.5928347921780097,0.08,0.1,0.35,0.0
74,1,0.9129287311628013,0.05,0.1,0.2,0.0
75,12,0.2,0.15,0.05,0.1,0.0
76,10,0.7643805008750447,0.08,0.1,0.35,0.0
77,8,0.6174094136476342,0.15,0.05,0.1,0.0
78,3,0.5401985299068265,0.08,0.1,0.35,0.0
79,16,0.6183521553071004,0.15,0.05,0.1,0.0
80,18,0.2024862170798214,0.08,0.1,0.35,0.0
81,5,0.5560656224324976,0.1,0.15,0.25,0.0
82,18,0.6714225143023492,0.1,0.15,0.25,0.0
83,17,0.8955788089483032,0.15,0.05,0.1,0.0
84,14,0.4963459563452705,0.08,0.1,0.35,0.0
85,18,0.43830127942136243,0.08,0.1,0.35,0.0
86,7,0.4996485912830927,0.1,0.15,0.25,0.0
87,13,0.7830804235404148,0.1,0.15,0.25,0.0
88,12,0.6657502219319369,0.08,0.1,0.35,0.0
89,17,0.4940479592465922,0.05,0.1,0.2,0.0
90,8,0.7026534866226712,0.05,0.1,0.2,0.0
91,11,0.619415509869608,0.15,0.05,0.1,0.0
92,18,0.7937289981065778,0.15,0.05,0.1,0.0
93,8,0.4595893812245295,0.15,0.05,0.1,0.0
94,2,0.5344675706804464,0.15,0.05,0.1,0.0
95,2,0.5215783693735685,0.15,0.05,0.1,0.0
96,3,0.30729701037357626,0.08,0.1,0.35,0.0
97,9,0.6592240554129152,0.05,0.1,0.2,0.0
98,7,0.6522110544359778,0.1,0.15,0.25,0.0
99,19,0.6010226913284922,0.05,0.1,0.2,0.0
100,8,0.5530825733249706,0.05,0.1,0.2,0.0
101,14,0.3169258515899171,0.1,0.15,0.25,0.0
102,4,0.5158709354469282,0.15,0.05,0.1,0.0
103,12,0.5314570966946461,0.1,0.15,0.25,0.0
104,15,0.4395445461556762,0.05,0.1,0.2,0.0
105,2,0.5677428576667981,0.08,0.1,0.35,0.0
106,4,0.6808101713629077,0.1,0.15,0.25,0.0
107,11,0.95,0.15,0.05,0.1,0.0
108,4,0.6349155625663677,0.08,0.1,0.35,0.0
109,7,0.6515100781445529,0.15,0.05,0.1,0.0
110,5,0.5851108168467666,0.05,0.1,0.2,0.0
111,9,0.21624575694019166,0.05,0.1,0.2,0.0
112,3,0.5946972249101566,0.05,0.1,0.2,0.0
113,18,0.6120460419882052,0.05,0.1,0.2,0.0
114,18,0.95,0.15,0.05,0.1,0.0
115,3,0.5615278070437755,0.08,0.1,0.35,0.0
116,8,0.6603094684667224,0.08,0.1,0.35,0.0
117,16,0.5930576460589513,0.15,0.05,0.1,0.0
118,13,0.36626439247609355,0.05,0.1,0.2,0.0
119,6,0.8285645629030041,0.08,0.1,0.35,0.0
120,13,0.7503866065373548,0.05,0.1,0.2,0.0
121,15,0.7582063894086094,0.15,0.05,0.1,0.0
122,18,0.4181225090410522,0.15,0.05,0.1,0.0
123,16,0.8805588621872198,0.1,0.15,0.25,0.0
124,10,0.3196297874415438,0.15,0.05,0.1,0.0
125,2,0.7173714187600541,0.15,0.05,0.1,0.0
126,18,0.95,0.05,0.1,0.2,0.0
127,11,0.4018927349738623,0.15,0.05,0.1,0.0
128,19,0.4867404540794456,0.15,0.05,0.1,0.0
129,17,0.6199302730175282,0.05,0.1,0.2,0.0
130,17,0.49930486917676015,0.15,0.05,0.1,0.0
131,6,0.28986731378677344,0.15,0.05,0.1,0.0
132,3,0.6137125949612054,0.15,0.05,0.1,0.0
133,8,0.387539257254779,0.1,0.15,0.25,0.0
134,19,0.6947184861270363,0.05,0.1,0.2,0.0
135,20,0.4161151531532393,0.15,0.05,0.1,0.0
136,3,0.9099868810035079,0.15,0.05,0.1,0.0
137,19,0.4433493415327525,0.05,0.1,0.2,0.0
138,11,0.5355876967588649,0.05,0.1,0.2,0.0
139,7,0.7627034434739339,0.08,0.1,0.35,0.0
140,11,0.3538271367132089,0.1,0.15,0.25,0.0
141,13,0.6454919869208259,0.15,0.05,0.1,0.0
142,10,0.8614285508564856,0.15,0.05,0.1,0.0
143,3,0.2785033530877544,0.05,0.1,0.2,0.0
144,20,0.6369267717064608,0.15,0.05,0.1,0.0
145,4,0.6519765588496846,0.08,0.1,0.35,0.0
146,7,0.7563645743554621,0.15,0.05,0.1,0.0
147,5,0.3526098578243836,0.05,0.1,0.2,0.0
148,3,0.3359086773831447,0.08,0.1,0.35,0.0
149,12,0.7043883131233795,0.08,0.1,0.35,0.0
150,15,0.6593969346466372,0.15,0.05,0.1,0.0
151,10,0.6500985700691753,0.08,0.1,0.35,0.0
152,17,0.6692896418993951,0.1,0.15,0.25,0.0
153,18,0.46399505568430177,0.15,0.05,0.1,0.0
154,4,0.6464507394322007,0.15,0.05,0.1,0.0
155,5,0.6586144946597362,0.08,0.1,0.35,0.0
156,4,0.45712971639472644,0.15,0.05,0.1,0.0
157,5,0.95,0.1,0.15,0.25,0.0
158,20,0.6947665841823575,0.15,0.05,0.1,0.0
159,11,0.36173930055947023,0.15,0.05,0.1,0.0
160,9,0.7313107217267659,0.15,0.05,0.1,0.0
161,9,0.4050636659545357,0.05,0.1,0.2,0.0
162,2,0.7574169207484904,0.08,0.1,0.35,0.0
163,14,0.8317191158014808,0.15,0.05,0.1,0.0
164,2,0.4358635363296579,0.08,0.1,0.35,0.0
165,5,0.7926752258488643,0.15,0.05,0.1,0.0
166,9,0.6825561853872997,0.1,0.15,0.25,0.0
167,15,0.764412031998898,0.15,0.05,0.1,0.0
168,14,0.95,0.05,0.1,0.2,0.0
169,4,0.5509223767994259,0.05,0.1,0.2,0.0
170,5,0.44925276712850204,0.15,0.05,0.1,0.0
171,12,0.4220971140748953,0.05,0.1,0.2,0.0
172,5,0.4368379430069123,0.05,0.1,0.2,0.0
173,2,0.5845796581171792,0.05,0.1,0.2,0.0
174,2,0.6682303949633288,0.05,0.1,0.2,0.0
175,7,0.6553381598660037,0.08,0.1,0.35,0.0
176,4,0.7654366498072047,0.1,0.15,0.25,0.0
177,18,0.6026003783755813,0.05,0.1,0.2,0.0
178,14,0.8907068154314634,0.08,0.1,0.35,0.0
179,5,0.5470686333524087,0.08,0.1,0.35,0.0
180,8,0.95,0.08,0.1,0.35,0.0
181,6,0.7251334695530012,0.08,0.1,0.35,0.0
182,1,0.42856848871674347,0.08,0.1,0.35,0.0
183,11,0.3858215003877775,0.15,0.05,0.1,0.0
184,14,0.696494483048637,0.1,0.15,0.25,0.0
185,8,0.5553074429348298,0.08,0.1,0.35,0.0
186,4,0.7428000988184184,0.15,0.05,0.1,0.0
187,2,0.6946475249147089,0.05,0.1,0.2,0.0
188,8,0.5854342174686255,0.08,0.1,0.35,0.0
189,15,0.430641256386319,0.15,0.05,0.1,0.0
190,8,0.29703055506282705,0.05,0.1,0.2,0.0
191,7,0.5106970095865957,0.15,0.05,0.1,0.0
192,9,0.7712797588646945,0.05,0.1,0.2,0.0
193,9,0.6428187488260407,0.08,0.1,0.35,0.0
194,17,0.35085224425760236,0.05,0.1,0.2,0.0
195,18,0.6346361851702363,0.05,0.1,0.2,0.0
196,1,0.6770634759457673,0.05,0.1,0.2,0.0
197,9,0.42322851275977336,0.15,0.05,0.1,0.0
198,9,0.6307450211891056,0.15,0.05,0.1,0.0
199,20,0.6116417436892,0.15,0.05,0.1,0.0
200,11,0.3714059404338753,0.05,0.1,0.2,0.0
201,17,0.6715574720696567,0.05,0.1,0.2,0.0
202,19,0.7121569052736468,0.15,0.05,0.1,0.0
203,2,0.8166102486350554,0.15,0.05,0.1,0.0
204,1,0.8107604104069805,0.1,0.15,0.25,0.0
205,18,0.32446612640858175,0.05,0.1,0.2,0.0
206,7,0.4124349920169754,0.1,0.15,0.25,0.0
207,3,0.703007053441732,0.05,0.1,0.2,0.0
208,11,0.7027571901824418,0.08,0.1,0.35,0.0
209,4,0.7030095372612095,0.1,0.15,0.25,0.0
210,10,0.95,0.1,0.15,0.25,0.0
211,14,0.7141781021386334,0.05,0.1,0.2,0.0
212,10,0.8271131280361198,0.05,0.1,0.2,0.0
213,7,0.7908003526986405,0.05,0.1,0.2,0.0
214,13,0.7302782502611596,0.05,0.1,0.2,0.0
215,6,0.5369461510719309,0.1,0.15,0.25,0.0
216,10,0.7517938440986535,0.1,0.15,0.25,0.0
217,1,0.4454349570924856,0.05,0.1,0.2,0.0
218,7,0.5526362786519982,0.05,0.1,0.2,0.0
219,19,0.5029272904341793,0.05,0.1,0.2,0.0
220,11,0.6163748278772645,0.1,0.15,0.25,0.0
221,15,0.95,0.05,0.1,0.2,0.0
222,17,0.22654696148165032,0.1,0.15,0.25,0.0
223,6,0.7372520380749027,0.05,0.1,0.2,0.0
224,10,0.27745682576206965,0.1,0.15,0.25,0.0
225,20,0.5056136268421133,0.05,0.1,0.2,0.0
226,8,0.8177901193934732,0.05,0.1,0.2,0.0
227,8,0.6128560038190926,0.1,0.15,0.25,0.0
228,5,0.38445104441413874,0.08,0.1,0.35,0.0
229,8,0.4569392581480063,0.15,0.05,0.1,0.0
230,20,0.7359195497869352,0.08,0.1,0.35,0.0
231,3,0.45392667365657263,0.08,0.1,0.35,0.0
232,19,0.643291717916395,0.05,0.1,0.2,0.0
233,13,0.6091143679807627,0.15,0.05,0.1,0.0
234,8,0.46967993047883655,0.05,0.1,0.2,0.0
235,1,0.95,0.15,0.05,0.1,0.0
236,4,0.7267838044636022,0.08,0.1,0.35,0.0
237,8,0.2,0.1,0.15,0.25,0.0
238,17,0.6372908629538855,0.15,0.05,0.1,0.0
239,18,0.4676427070463224,0.05,0.1,0.2,0.0
240,4,0.7704866669592447,0.15,0.05,0.1,0.0
241,15,0.44149585231345984,0.05,0.1,0.2,0.0
242,18,0.5770527117066202,0.1,0.15,0.25,0.0
243,15,0.7009974557960914,0.05,0.1,0.2,0.0
244,17,0.7731510388340243,0.1,0.15,0.25,0.0
245,18,0.3599407185888447,0.05,0.1,0.2,0.0
246,6,0.5330997528318103,0.05,0.1,0.2,0.0
247,16,0.5050109377678087,0.1,0.15,0.25,0.0
248,8,0.4693341534852576,0.05,0.1,0.2,0.0
249,9,0.95,0.08,0.1,0.35,0.0
250,17,0.6809963421921911,0.1,0.15,0.25,0.0
251,8,0.3478232091329909,0.05,0.1,0.2,0.0
252,3,0.7835723894109552,0.15,0.05,0.1,0.0
253,8,0.95,0.1,0.15,0.25,0.0
254,11,0.8064930521102294,0.15,0.05,0.1,0.0
255,3,0.29612600680919726,0.08,0.1,0.35,0.0
256,8,0.5031531854267497,0.15,0.05,0.1,0.0
257,5,0.8533822298373246,0.05,0.1,0.2,0.0
258,3,0.4584661068762438,0.1,0.15,0.25,0.0
259,11,0.6887638856292457,0.05,0.1,0.2,0.0
260,14,0.7549268106858673,0.05,0.1,0.2,0.0
261,14,0.4146139056843834,0.15,0.05,0.1,0.0
262,19,0.5880949287876399,0.05,0.1,0.2,0.0
263,1,0.2,0.08,0.1,0.35,0.0
264,19,0.39512247173314197,0.08,0.1,0.35,0.0
265,1,0.5494863697213679,0.05,0.1,0.2,0.0
266,10,0.3504433636070301,0.08,0.1,0.35,0.0
267,14,0.926482260786327,0.1,0.15,0.25,0.0
268,18,0.3139717244078734,0.05,0.1,0.2,0.0
269,8,0.5119911026606032,0.1,0.15,0.25,0.0
270,9,0.6261481154572183,0.05,0.1,0.2,0.0
271,1,0.8882546578132231,0.05,0.1,0.2,0.0
272,13,0.3128275697641121,0.05,0.1,0.2,0.0
273,15,0.8326327504309919,0.1,0.15,0.25,0.0
274,20,0.6020466122039174,0.08,0.1,0.35,0.0
275,13,0.4036982697904098,0.05,0.1,0.2,0.0
276,1,0.6924206948526541,0.05,0.1,0.2,0.0
277,14,0.639811939114694,0.15,0.05,0.1,0.0
278,15,0.47995662456824106,0.15,0.05,0.1,0.0
279,9,0.6139604169980037,0.15,0.05,0.1,0.0
280,7,0.522937280627648,0.05,0.1,0.2,0.0
281,11,0.6227034690502495,0.05,0.1,0.2,0.0
282,13,0.7324261349042094,0.1,0.15,0.25,0.0
283,14,0.9172033632290704,0.15,0.05,0.1,0.0
284,3,0.35243690023463015,0.15,0.05,0.1,0.0
285,18,0.95,0.05,0.1,0.2,0.0
286,12,0.2095824400954996,0.15,0.05,0.1,0.0
287,3,0.5696429809928834,0.15,0.05,0.1,0.0
288,2,0.7176634412969153,0.1,0.15,0.25,0.0
289,8,0.6561983735470065,0.1,0.15,0.25,0.0
290,1,0.47546009603588124,0.15,0.05,0.1,0.0
291,8,0.558375549928545,0.1,0.15,0.25,0.0
292,4,0.5013998130682334,0.15,0.05,0.1,0.0
293,7,0.4821270486111577,0.05,0.1,0.2,0.0
294,9,0.7699204194042049,0.05,0.1,0.2,0.0
295,6,0.6714030971930094,0.1,0.15,0.25,0.0
296,4,0.4614180809478691,0.1,0.15,0.25,0.0
297,6,0.7799199750866501,0.1,0.15,0.25,0.0
298,4,0.6614599041753219,0.08,0.1,0.35,0.0
299,10,0.762572423767792,0.05,0.1,0.2,0.0
300,13,0.7259257683847224,0.05,0.1,0.2,0.0
301,7,0.4342009978155855,0.05,0.1,0.2,0.0
302,8,0.4879637919606061,0.15,0.05,0.1,0.0
303,10,0.7494587210246524,0.15,0.05,0.1,0.0
304,20,0.7220740530866929,0.08,0.1,0.35,0.0
305,19,0.5958196812071703,0.08,0.1,0.35,0.0
306,12,0.6234654766617563,0.1,0.15,0.25,0.0
307,12,0.8555329791576849,0.05,0.1,0.2,0.0
308,11,0.481685722232834,0.15,0.05,0.1,0.0
309,14,0.7094194762340076,0.15,0.05,0.1,0.0
310,4,0.5595614695132212,0.08,0.1,0.35,0.0
311,12,0.5564637593545559,0.05,0.1,0.2,0.0
312,15,0.8197553703974381,0.1,0.15,0.25,0.0
313,14,0.765083269797606,0.1,0.15,0.25,0.0
314,17,0.7627019272001276,0.15,0.05,0.1,0.0
315,9,0.8610957614308659,0.08,0.1,0.35,0.0
316,18,0.6042007683265518,0.1,0.15,0.25,0.0
317,15,0.7363905942589928,0.1,0.15,0.25,0.0
318,19,0.5379466486813088,0.05,0.1,0.2,0.0
319,8,0.6648332704976884,0.15,0.05,0.1,0.0
320,3,0.5739713891264631,0.08,0.1,0.35,0.0
321,15,0.6193991929985436,0.15,0.05,0.1,0.0
322,15,0.7190314050873827,0.15,0.05,0.1,0.0
323,13,0.43635586335330545,0.05,0.1,0.2,0.0
324,16,0.95,0.05,0.1,0.2,0.0
325,6,0.3987965237000596,0.08,0.1,0.35,0.0
326,12,0.35716227744245355,0.05,0.1,0.2,0.0
327,11,0.8316221747000135,0.1,0.15,0.25,0.0
328,20,0.7583325387925872,0.15,0.05,0.1,0.0
329,9,0.724823963410431,0.1,0.15,0.25,0.0
330,17,0.7256691018528559,0.05,0.1,0.2,0.0
331,3,0.5975506454306171,0.08,0.1,0.35,0.0
332,14,0.42054912570283365,0.15,0.05,0.1,0.0
333,8,0.6151609116387452,0.05,0.1,0.2,0.0
334,16,0.46456765769757763,0.1,0.15,0.25,0.0
335,1,0.7950239466835503,0.05,0.1,0.2,0.0
336,8,0.5705885236995722,0.15,0.05,0.1,0.0
337,8,0.4349005606414976,0.05,0.1,0.2,0.0
338,19,0.5357228316694013,0.05,0.1,0.2,0.0
339,18,0.6825862908551248,0.05,0.1,0.2,0.0
340,14,0.48725508943920504,0.05,0.1,0.2,0.0
341,18,0.4355559208867137,0.08,0.1,0.35,0.0
342,15,0.6487374422983825,0.05,0.1,0.2,0.0
343,9,0.6489933142217446,0.15,0.05,0.1,0.0
344,7,0.498611364925774,0.15,0.05,0.1,0.0
345,18,0.5057923388763355,0.05,0.1,0.2,0.0
346,6,0.6464099874715272,0.08,0.1,0.35,0.0
347,16,0.31038313170053516,0.15,0.05,0.1,0.0
348,19,0.3185072451246889,0.15,0.05,0.1,0.0
349,17,0.45631115574951275,0.08,0.1,0.35,0.0
350,4,0.5573105696576305,0.05,0.1,0.2,0.0
351,10,0.6621815131196009,0.08,0.1,0.35,0.0
352,6,0.8950712433899104,0.15,0.05,0.1,0.0
353,18,0.7715319246404039,0.05,0.1,0.2,0.0
354,2,0.5680122940073146,0.15,0.05,0.1,0.0
355,18,0.5961967584194622,0.08,0.1,0.35,0.0
356,5,0.3994941270724382,0.15,0.05,0.1,0.0
357,16,0.596297372801522,0.1,0.15,0.25,0.0
358,1,0.5422682722159723,0.15,0.05,0.1,0.0
359,16,0.6645437120676179,0.05,0.1,0.2,0.0
360,11,0.4345538112895354,0.05,0.1,0.2,0.0
361,2,0.7038693028482345,0.15,0.05,0.1,0.0
362,16,0.9065477826005155,0.15,0.05,0.1,0.0
363,3,0.5782479703086285,0.15,0.05,0.1,0.0
364,3,0.6803423444197882,0.05,0.1,0.2,0.0
365,2,0.7380287983422225,0.05,0.1,0.2,0.0
366,19,0.5197559056228327,0.15,0.05,0.1,0.0
367,3,0.6448184963620833,0.08,0.1,0.35,0.0
368,4,0.602518480156359,0.08,0.1,0.35,0.0
369,14,0.6195352197097663,0.05,0.1,0.2,0.0
370,20,0.44539804322890664,0.1,0.15,0.25,0.0
371,17,0.6049020348517885,0.15,0.05,0.1,0.0
372,15,0.69959965824909,0.05,0.1,0.2,0.0
373,19,0.8902287215590083,0.15,0.05,0.1,0.0
374,10,0.7918541652170413,0.08,0.1,0.35,0.0
375,2,0.95,0.05,0.1,0.2,0.0
376,4,0.4465304874223901,0.1,0.15,0.25,0.0
377,7,0.7744641273441356,0.08,0.1,0.35,0.0
378,9,0.6366684011476703,0.1,0.15,0.25,0.0
379,6,0.95,0.1,0.15,0.25,0.0
380,18,0.4383403429289697,0.15,0.05,0.1,0.0
381,1,0.43205563156384474,0.15,0.05,0.1,0.0
382,20,0.48012147091119556,0.05,0.1,0.2,0.0
383,2,0.2,0.05,0.1,0.2,0.0
384,10,0.49484899566384777,0.15,0.05,0.1,0.0
385,15,0.44817346768926036,0.1,0.15,0.25,0.0
386,8,0.6300787572952415,0.15,0.05,0.1,0.0
387,19,0.6683511951554318,0.08,0.1,0.35,0.0
388,7,0.95,0.1,0.15,0.25,0.0
389,18,0.79008476763721,0.05,0.1,0.2,0.0
390,5,0.4846192688675194,0.15,0.05,0.1,0.0
391,5,0.42031706573032834,0.08,0.1,0.35,0.0
392,6,0.6983838343013011,0.15,0.05,0.1,0.0
393,20,0.33595335859587155,0.1,0.15,0.25,0.0
394,19,0.95,0.1,0.15,0.25,0.0
395,15,0.8358880241442574,0.08,0.1,0.35,0.0
396,10,0.506164869579059,0.15,0.05,0.1,0.0
397,9,0.25737309418182447,0.1,0.15,0.25,0.0
398,16,0.8707744748330826,0.05,0.1,0.2,0.0
399,20,0.5770920309494764,0.05,0.1,0.2,0.0
400,14,0.8475632623946924,0.15,0.05,0.1,0.0
401,20,0.2811144682411265,0.1,0.15,0.25,0.0
402,3,0.4801249954092454,0.15,0.05,0.1,0.0
403,19,0.6010487399436366,0.15,0.05,0.1,0.0
404,1,0.6093961187529484,0.05,0.1,0.2,0.0
405,9,0.5099869057041513,0.08,0.1,0.35,0.0
406,6,0.7245699864694998,0.05,0.1,0.2,0.0
407,15,0.3864759141234811,0.05,0.1,0.2,0.0
408,6,0.5715241029957413,0.08,0.1,0.35,0.0
409,14,0.6240591263423797,0.08,0.1,0.35,0.0
410,16,0.7028877668117498,0.1,0.15,0.25,0.0
411,16,0.7423229756177779,0.08,0.1,0.35,0.0
412,11,0.37507158163242615,0.05,0.1,0.2,0.0
413,4,0.2931771658528755,0.05,0.1,0.2,0.0
414,11,0.8555353643797018,0.08,0.1,0.35,0.0
415,16,0.6664628023959183,0.05,0.1,0.2,0.0
416,13,0.4503026926886893,0.15,0.05,0.1,0.0
417,18,0.9102303951045045,0.08,0.1,0.35,0.0
418,3,0.6231349268585717,0.15,0.05,0.1,0.0
419,11,0.8358594368127653,0.05,0.1,0.2,0.0
420,13,0.6135036962820217,0.15,0.05,0.1,0.0
421,1,0.95,0.08,0.1,0.35,0.0
422,18,0.95,0.1,0.15,0.25,0.0
423,2,0.5502071703041853,0.05,0.1,0.2,0.0
424,12,0.794314190190871,0.15,0.05,0.1,0.0
425,16,0.7290751899170295,0.1,0.15,0.25,0.0
426,2,0.8737263115064697,0.1,0.15,0.25,0.0
427,18,0.4070153078839791,0.15,0.05,0.1,0.0
428,10,0.7372102919996879,0.15,0.05,0.1,0.0
429,16,0.8116848973699176,0.05,0.1,0.2,0.0
430,20,0.24825210271537712,0.15,0.05,0.1,0.0
431,6,0.36334829746684494,0.1,0.15,0.25,0.0
432,1,0.2,0.05,0.1,0.2,0.0
433,3,0.5461186331110884,0.05,0.1,0.2,0.0
434,4,0.7435084511591925,0.15,0.05,0.1,0.0
435,4,0.9004714104192056,0.05,0.1,0.2,0.0
436,5,0.614818956083955,0.1,0.15,0.25,0.0
437,10,0.9257231091142584,0.05,0.1,0.2,0.0
438,9,0.32397970835702167,0.05,0.1,0.2,0.0
439,16,0.25932351212896904,0.05,0.1,0.2,0.0
440,8,0.5888904602206763,0.08,0.1,0.35,0.0
441,5,0.6768130897878615,0.05,0.1,0.2,0.0
442,20,0.5934610503811814,0.05,0.1,0.2,0.0
443,5,0.2,0.05,0.1,0.2,0.0
444,9,0.5821759920974423,0.08,0.1,0.35,0.0
445,14,0.33910609989902935,0.1,0.15,0.25,0.0
446,17,0.7339345097660077,0.05,0.1,0.2,0.0
447,1,0.6733196492193696,0.15,0.05,0.1,0.0
448,10,0.4120240427345289,0.15,0.05,0.1,0.0
449,19,0.49722661653266126,0.08,0.1,0.35,0.0
450,16,0.3881572956222097,0.08,0.1,0.35,0.0
451,15,0.5874641805453656,0.08,0.1,0.35,0.0
452,12,0.7910284641002476,0.05,0.1,0.2,0.0
453,18,0.4028547907328912,0.05,0.1,0.2,0.0
454,11,0.7008093031035689,0.05,0.1,0.2,0.0
455,8,0.4939484763255118,0.08,0.1,0.35,0.0
456,8,0.44142543354753117,0.05,0.1,0.2,0.0
457,14,0.5785939280090884,0.08,0.1,0.35,0.0
458,16,0.39295153551612516,0.15,0.05,0.1,0.0
459,13,0.4892701389305636,0.1,0.15,0.25,0.0
460,5,0.3604244214822303,0.05,0.1,0.2,0.0
461,2,0.95,0.05,0.1,0.2,0.0
462,19,0.6070527103943457,0.15,0.05,0.1,0.0
463,4,0.46005489840148284,0.05,0.1,0.2,0.0
464,15,0.6427959821468444,0.08,0.1,0.35,0.0
465,15,0.577534390061834,0.15,0.05,0.1,0.0
466,5,0.5558060800933554,0.15,0.05,0.1,0.0
467,5,0.722833340008685,0.05,0.1,0.2,0.0
468,9,0.7515015420094611,0.15,0.05,0.1,0.0
469,13,0.49389977047789446,0.05,0.1,0.2,0.0
470,11,0.484836351871064,0.1,0.15,0.25,0.0
471,18,0.5449896605696711,0.08,0.1,0.35,0.0
472,11,0.2,0.05,0.1,0.2,0.0
473,16,0.2969617875602895,0.1,0.15,0.25,0.0
474,2,0.873374853488905,0.08,0.1,0.35,0.0
475,8,0.9289935427002567,0.1,0.15,0.25,0.0
476,10,0.5501927920887243,0.1,0.15,0.25,0.0
477,3,0.7153113926111533,0.08,0.1,0.35,0.0
478,4,0.6622500309087072,0.05,0.1,0.2,0.0
479,4,0.95,0.1,0.15,0.25,0.0
480,10,0.8239149822869154,0.05,0.1,0.2,0.0
481,2,0.5744164817038466,0.08,0.1,0.35,0.0
482,2,0.4088919118799148,0.05,0.1,0.2,0.0
483,12,0.27871073594848544,0.15,0.05,0.1,0.0
484,8,0.6406927271734446,0.05,0.1,0.2,0.0
485,19,0.44872985094313933,0.05,0.1,0.2,0.0
486,6,0.31554925808046513,0.1,0.15,0.25,0.0
